[2022-04-05 01:50:13,948] apscheduler.scheduler:[INFO]:[base:add_job:444]:[MainProcess:14172]:Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2022-04-05 01:50:13,949] apscheduler.scheduler:[INFO]:[base:_real_add_job:885]:[MainProcess:14172]:Added job "upload_prescription_job" to job store "default"
[2022-04-05 01:50:13,949] apscheduler.scheduler:[INFO]:[base:start:171]:[MainProcess:14172]:Scheduler started
[2022-04-05 06:57:25,153] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:2496]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:57:25 CST)" (scheduled at 2022-04-05 06:57:25.128378+08:00)
[2022-04-05 06:57:25,197] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:2496]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:58:25 CST)" executed successfully
[2022-04-05 06:58:25,155] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:2496]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:58:25 CST)" (scheduled at 2022-04-05 06:58:25.128378+08:00)
[2022-04-05 06:58:25,230] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:2496]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:59:25 CST)" executed successfully
[2022-04-05 06:59:25,143] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:2496]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:59:25 CST)" (scheduled at 2022-04-05 06:59:25.128378+08:00)
[2022-04-05 06:59:25,179] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:2496]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:00:25 CST)" executed successfully
[2022-04-05 07:00:25,145] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:2496]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:00:25 CST)" (scheduled at 2022-04-05 07:00:25.128378+08:00)
[2022-04-05 07:00:25,197] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:2496]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:01:25 CST)" executed successfully
[2022-04-05 07:00:38,341] apscheduler.scheduler:[INFO]:[base:add_job:444]:[MainProcess:312]:Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2022-04-05 07:00:38,341] apscheduler.scheduler:[INFO]:[base:_real_add_job:885]:[MainProcess:312]:Added job "upload_prescription_job" to job store "default"
[2022-04-05 07:00:38,341] apscheduler.scheduler:[INFO]:[base:start:171]:[MainProcess:312]:Scheduler started
[2022-04-05 07:01:38,352] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:312]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:01:38 CST)" (scheduled at 2022-04-05 07:01:38.340432+08:00)
[2022-04-05 07:01:38,451] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:312]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:02:38 CST)" executed successfully
[2022-04-05 07:02:38,362] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:312]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:02:38 CST)" (scheduled at 2022-04-05 07:02:38.340432+08:00)
[2022-04-05 07:02:38,434] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:312]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:03:38 CST)" executed successfully
[2022-04-05 07:03:38,359] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:312]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:03:38 CST)" (scheduled at 2022-04-05 07:03:38.340432+08:00)
[2022-04-05 07:03:38,444] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:312]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:04:38 CST)" executed successfully
[2022-04-05 07:04:38,360] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:312]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:04:38 CST)" (scheduled at 2022-04-05 07:04:38.340432+08:00)
[2022-04-05 07:04:38,403] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:312]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:05:38 CST)" executed successfully
[2022-04-05 07:05:38,368] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:312]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:05:38 CST)" (scheduled at 2022-04-05 07:05:38.340432+08:00)
[2022-04-05 07:05:38,441] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:312]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:06:38 CST)" executed successfully
[2022-04-05 07:06:38,360] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:312]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:06:38 CST)" (scheduled at 2022-04-05 07:06:38.340432+08:00)
[2022-04-05 07:06:38,410] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:312]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 07:07:38 CST)" executed successfully
[2022-04-05 07:07:13,364] apscheduler.scheduler:[INFO]:[base:add_job:444]:[MainProcess:20240]:Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2022-04-05 07:07:13,365] apscheduler.scheduler:[INFO]:[base:_real_add_job:885]:[MainProcess:20240]:Added job "upload_prescription_job" to job store "default"
[2022-04-05 07:07:13,365] apscheduler.scheduler:[INFO]:[base:start:171]:[MainProcess:20240]:Scheduler started
